0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Aleksanyan v. Russia, no. 46468/06, § 214, 22 December 2008"
"Vernillo v. France, judgment of 20 February 1991, § 27, Series A no. 198"
"Scozzari and Giunta v. Italy [GC], nos. 39221/98 and 41963/98, § 249, ECHR 2000 VIII"
"Odièvre v. France [GC], no. 42326/98, ECHR 2003-III"
"A/S Diena and Ozolinš c. Latvia, no 16657/03, § 84, 12 July 2007"
"Rudan v. Croatia (dec.), no. 45943/99, 13 September 2001"
"Sommerfeld c. Germany, no 31871/96, § 64, 11 October 2001"
"Brumarescu v. Romania (just satisfaction) [GC], no. 28342/95, § 20, ECHR 2000-I"
"Ciechonska v. Poland, no. 19776/0414 June 2011"
"Doorson v. the Netherlands, 26 March 1996, § 70, Reports of Judgments and Decisions 1996 II"
"Jussila v. Finland [GC], no 73053/01, ECHR 2006-XIII"
"Lukach v. Russia (dec.), no 48041/99, 16 November 1999"
"Nadrosov v. Russia, no. 9297/02, 31 July 2008"
"Frydlender v. France [GC], no. 30979/96, § 43, ECHR 2000-VII, and Estrikh v. Latvia, no. 73819/01, § 137, 18 January 2007"
"Slivenko v. Latvia (dec.) [GC], no. 48321/99, ECHR 2002-II"
"Lütfi Demirci and Others v. Turkey, no 28809/05, 2 March 2010"
"Haralambie v. Romania, no 21737/03, § 79, 27 October 2009"
"X and Y v. the Netherlands, 26 March 1985, § 24, Series A no. 91"
"Devenney v. the United Kingdom, no. 24265/94, § 26, 19 March 2002"
"Einhorn v. France (dec.), no 71555/01, ECHR 2001-XI"
"Matveyev v. Russia, no. 26601/02, § 38, 3 July 2008"
"Papamichalopoulos and Others v. Greece (article 50), 31 October 1995, § 34, Series A no 330-B"
"Pauger v. Austria, 28 May 1997, Reports 1997-III"
"Chassagnou and Others v. France [GC], nos. 25088/94, 28331/95 and 28443/95, §§ 91-92, ECHR 1999-III"
"Shteyn (Stein) v. Russia, no. 23691/06, 18 June 2009"
"Elçi and Others v. Turkey, nos. 23145/93 and 25091/94, §§ 604 and 605,  13 November 2003"
"Peltonen v. Finland, no. 19583/92, Commission decision of 20 February 1995, DR 80-a"
"Gorea v. Moldova, no 21984/05, §§ 48-51, 17 July 2007"
"Baranowski v. Poland, no 28358/95, § 56, ECHR 2000-III"
"Khudoyorov v. Russia, no. 6847/02, § ECHR 2005-X (extracts)"
"Buscarini v. San Marino (dec.), no. 31657/96, 4 May 2000"
"Ettl and Others judgment of 23 August 1987, Series A no. 117, p. 18, paras. 38-41"
"Constantinescu v. Romania, no. 28871/95, § 40, ECHR 2000-VIII"
"Gäfgen v. Germany [GC], no. 22978/05, § 108, ECHR 2010"
"Rachevi v. Bulgaria, no. 47877/99, § 70, 23 September 2004"
"Soering v. the United Kingdom, 7 July 1989, Series A no. 161, pp. 35-36"
"Fox, Campbell and Hartley v. the United Kingdom, 30 August 1990, § 32, Series A no 182"
"Üner v. the Netherlands [GC], no 46410/99, §§ 54-60, ECHR 2006-XII"
"Kemmache v. France (no 3), 24 November 1994, § 37, Series A no 296-C"
"Trufin v. Romania, no 3990/04, § 52, 20 October 2009"
"Fatma Kaçar v. Turkey, no. 35838/97, 15 July 2005"
"Halford v. the United Kingdom, 25 June 1997, Reports of Judgments and Decisions 1997-III"
"Bistrovic v. Croatia, no 25774/05, § 35, 31 May 2007"
"Times Newspapers Ltd v. United Kingdom (nos. 1 and 2), no. 3002/03 and 23676/03, § 37, ECHR 2009-..."
"Frérot c. France, no 70204/01, § 37, 12 juin 2007"
"Leempoel & S.A. ED. Ciné Revue v. Belgium, no 64772/01, 9 November 2006"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, § 220, ECHR 2007-IV"
"Scordino v. Italy (no 1) [GC], no 36813/97, §§ 255 and suivants, ECHR 2006-V"
"Deweer v. Belgium, 27 February 1980, § 56, Series A no. 35"
"Broniowski v. Poland [GC], no 31443/96, § 143, ECHR 2004-V"
"Dikme v. Turkey, no. 20869/92, § 73, ECHR 2000-VIII"
"Shukhardin v. Russia, no. 65734/01, §§ 65-70, 28 June 2007"
"Reinprecht v. Austria, no 67175/01, § 55, ECHR 2005-XII"
"D.G. v. Ireland, no. 39474/98, ECHR 2002-III"
"Petra v. Romania, 23 September 1998, § 37, Reports 1998-VII"
"Grigoriades v. Greece, 25 November 1997, §§ 45-48, Reports 1997-VII"
"W. v. the United Kingdom, 8 July 1987, § 62, Series A no. 121"
"Marckx v. Belgium, 13 June 1979, § 31, Series A no. 31"
"Kjartan Ásmundsson v. Iceland, no. 60669/00, §§ 39-40, ECHR 2004-IX"
"Teixeira de Castro v. Portugal, 9 June 1998, Reports of Judgments and Decisions 1998-IV"
"Gheorghe and Maria Mihaela Dumitrescu v. Romania, no 6373/03, § 26, 29 July 2008"
"Hokkanen c. Finland, judgment of 23 September 1994, Series A no 299-A, p. 22, § 58"
"A.C. v. France (dec.), no. 37547/97, 14 December 1999"
"Inan Eren v. Turkey, no 27662/04, 4 January 2007"
"K. and T. v. Finland [GC], no. 25702/94, § 150, ECHR 2001-VII"
"Heglas v. the Czech Republic, no 5935/02, § 84, 1er March 2007"
"Maslova and Nalbandov v. Russia, no. 839/02, §§ 128-129, 24 January 2008"
"Garayev v. Azerbaijan, no. 53688/08, 10 June 2010"
"No. 10308/83, Dec. 3.5.83, D.R. 36 pp. 209-235"
"Sanchez Cardenas v. Norway, no. 12148/03, §§ 33 and 38, 4 October 2007"
"Deweer v. Belgium, § 46, 27 February 1980, Series A no. 35"
"Kroon and Others v. the Netherlands, 27 October 1994, § 30, Series A no. 297-C"
"Nikula v. Finland, no. 31611/96, § 44, ECHR 2002-II"
"Dallos v. Hungary, no. 29082/95, §§ 47-53, 1 March 2001"
"Beging v. Germany, no. 15376/89, decision of the Commission of 27 May 1991"
"L.C.B. v. the United Kingdom, 9 June 1998, § 36, Reports of Judgments and Decisions 1998-III"
"Smith and Grady v. the United Kingdom, nos. 33985/96 and 33986/96, §§ 89-112, ECHR 1999-VI"
"McFarlane v. Ireland [GC], no. 31333/06, ECHR 2010-…"
"Boyle and Rice v. the United Kingdom, judgment of 27 April 1988, Series A no. 131, § 52"
"Bragadireanu c. Romania, no 22088/04, § 102, 6 December 2007)."
"Kudla v. Poland [GC], no. 30210/96, §§ 110 et seq., ECHR 2000-XI"
"Cardot v. France, A 200 (1991)"
"Wloch v. Poland, no. 27785/95, §§ 130-136, ECHR 2000-XI"
"Kampanis v. Greece, 13 July 1995, Series A no. 318-B"
"Hirst v. the United Kingdom (no. 2) ([GC], no. 74025/01, ECHR 2005-IX"
"Andric v. Sweden (dec), no. 45917/99, 23 February 1999"
"97 Members of the Gldani Congregation of Jehovah’s Witnesses and 4 Others v. Georgia, no. 71156/01, §97, 3 May 2007"
"Penafiel Salgado v. Spain (dec.), no 65964/01, 16 April 2002"
"Khadzhialiyev and Others v. Russia, no. 3013/04, § 121, 6 November 2008"
"Z and Others v. the United Kingdom [GC], no. 29392/95, § 108, ECHR 2001-V"
"Unterpertinger judgment of 24 November 1986, Series A no. 110, p. 14 para. 31"
"A, B and C v. Ireland [GC], no. 25579/05, ECHR 2010"
"Allan Jacobsson v. Sweden (no. 2) 19 February 1998, Reports of Judgments and Decisions 1998-I"
"Michta v. Poland, no. 13425/02, 4 May 2006"
"Berlinski v. Poland, nos. 27715/95 and 30209/96, § 62, 20 June 2002"
"Eid v. Italy (dec.), no. 53490/99, 22 January 2002"
"Indelicato v. Italy, no 31143/96, § 37, 18 October 2001"
"Grigoriades c. Grèce, arrêt du 25 novembre 1997, Recueil 1997 VII, p. 2587, § 37"
"Kjartan Ásmundsson v. Iceland, no. 60669/00, §§ 39 and 45, ECHR 2004 IX"
"Luczak v. Poland, no. 77782/01, § 46, ECHR 2007 XIII"
"Verein gegen Tierfabriken Schweiz (VgT) v. Switzerland (no. 2) [GC], no. 32772/02, § 82, ECHR 2009"
"Khashiyev and Akayeva v. Russia, nos. 57942/00 and 57945/00, 24 February 2005"
"Aydin v. Turkey, 25 September 1997, Reports 1997-VI"
"Flinkkilä and Others v. Finland, no 25576/04, 6 April 2010"
"Gennadiyy Naumenko v. Ukraine, no. 42023/98, 10 February 2004"
"Šilih v. Slovenia, [GC], no 71463/01, §§ 159-163, 9 April 2009"
"Pauger c. Austria, no 24872/94, decision of the Commission du 9 January 1995, DR 80-A, p. 170"
"Neulinger and Shuruk v. Switzerland [GC], no. 41615/07, § 159, 6 July 2010"
"Saadi v. Italy ([GC], no 37201/06, §§ 58-60, 28 February 2008"
"Iwanczuk v. Poland, no 25196/94, 15 November 2001, § 59"
"Saadi v. Italy [GC], no. 37201/06, § 125, ECHR 2008"
"Betayev and Betayeva v. Russia, no 37315/03, 29 May 2008"
"X and Y v. the Netherlands, 26 March 1985, § 23, Series A no 91"
"Sitokhova v. Russia (dec.), no. 55609/00, 2 September 2004"
"Ciancimino v. Italy, no. 12541/86, Commission decision of 27 May 1991, Decisions and Reports (DR) 70, pp. 122-123"
"Brogan and Others v. the United Kingdom, 29 November 1988, §§ 66-67, Series A no. 145-B"
"Daneshpayeh v. Turkey, no 21086/04, § 37, 16 July 2009"
"Mamère v. France, no 12697/03, § 25, ECHR 2006-XIII"
"Dagtekin and Others v. Turkey, no. 70516/01, § 22, 13 December 2007"
"Cardot v. France, judgment of 19 March 1991, § 36, Series A no 200"
"Nuutinen v. Finland, no. 32842/96, § 127, ECHR 2000-VIII"
"Mehemi v. France (no. 2), no. 53470/99, § 43, ECHR 2003 IV"
"Johnston and Others v. Ireland, 18 December 1986, § 55, Series A no 112"
"Kimlya and Others v. Russia, nos. 76836/01 and 32782/03, §§ 81 and 84, ECHR 2009"
"Y.B. and Others v. Turkey, nos. 48173/99 and 48319/99, § 43, 28 October 2004"
"Kemp and Others v. Luxembourg, no. 17140/05, § 58, 24 April 2008"
"Adamsons v. Latvia, no. 3669/03, § 123, 24 June 2008"
"Sediri v. France (dec.), no. 4310/05, 10 April 2007"
"Salgin v. Turkey, no. 46748/99, §§ 51-54, 20 February 2007"
"Peers v. Greece, no. 28524/95, § 75, ECHR 2001-III"
"Société Colas Est and Others v. France, no 37971/97, § 47, ECHR 2002-III"
"Gaygusuz v. Austria, 16 September 1996, Reports of Judgments and Decisions 1997"
"Dudgeon v. the United Kingdom, 22 October 1981, § 41, Series A no 45"
"Ülke v. Turkey (dec.), no 39437/98, 1 June 2004"
"Sinan Isik v. Turkey, no 21924/05, § 41, ECHR 2010-..."
"No. 7816/77, Dec"
"Vladimir Romanov v. Russia, no. 41461/02, §§ 79 and 81, 24 July 2008"
"Roche v. the United Kingdom [GC], no. 32555/96, § 162, ECHR 2005-X"
"R.L. and M.-J.D. v. France, no 44568/98, 19 May 2004"
"Galstyan v. Armenia, no. 26986/03, §§ 116-117, 15 November 2007"
"McKerr v. the United Kingdom, no 28883/95, § 129, ECHR 2001-III"
"Kutzner v. Germany, no. 46544/99, §§ 65-66, ECHR 2002-I"
"Avoutzis and Others v. Greece, no 25852/04, 24 April 2008"
"Kadikis v. Latvia, no 62393/00, § 55, 4 May 2006"
"Hokkanen v. Finland, judgment of 23 September 1994, Series A no. 299-A, p. 20, § 55"
"Younger v. the United Kingdom (dec.), no. 57420/00, ECHR 2003-I"
"Golek v. Poland (no. 31330/02, §§ 27-33, 25 April 2006)"
"Mehmet Emin Yüksel v. Turkey, no. 40154/98, 20 July 2004"
"Oberschlick v. Austria (no 1), 23 May 1991, § 65, Series A no 204"
"Sander v. the United Kingdom, no. 34129/96, § 22, 25, ECHR 2000-V)"
"Lindon, Otchakovsky-Laurens and July v. France [GC], nos. 21279/02 and 36448/02, ECHR 2007-XI"
"Akkum and Others v. Turkey, no. 21894/93, § 238 in fine, ECHR 2005-II (extracts)"
"Bormotov v. Russia, no. 24435/04, §§ 11-15, 31 July 2008"
"Lavents v. Latvia, no. 58442/00, §§ 117-118, 28 November 2002"
"Tsomtsos and Others v. Greece, 15 November 1996, § 32, Reports 1996-V"
"Artico v. Italy, 13 May 1980, § 33, Series A no 3"
"Hacisuleymanoglou v. Italy no. 23241/94, decision of 20 October 1994, DR no. 79-B, p. 121"
"García Ruiz v. Spain [GC], no 30544/96, § 26, ECHR 1999-I"
"Maire c. Portugal, no 48206/99, § 74, ECHR 2003-VII"
"Blecic v. Croatia [GC], no. 59532/00, ECHR 2006-III"
"Brogan and Others v. the United Kingdom, 29 November 1988, § 58, Series A no. 145-B"
"Prince Hans-Adam II of Liechtenstein v. Germany [GC], no. 42527/98, § 43, ECHR 2001-VIII"
"Tanase v. Moldova [GC], no 7/08, § 121, ECHR 2010 (extracts)"
"Gochev v. Bulgaria, no. 34383/03, 26 November 2009"
"Allan Jacobsson v. Sweden (no. 1), 25 October 1989, §§ 66-67, Series A no. 163"
"Andrášik and Others v. Slovakia (dec.), nos. 57984/00, 60237/00, 60242/00, 60679/00, 60680/00, 68563/01 and 60226/00, ECHR 2002-IX)"
"Brand v. the Netherlands, no. 49902/99, 11 May 2004, §§ 58-65"
"Boyle and Rice judgment of 27 April 1988, Series A no. 131, pp. 23-27, paras. 52-58"
"Khudobin v. Russia, no. 59696/00, § 83, ECHR 2006-XII"
"Babar Ahmad and Others v. the United Kingdom (dec.) nos. 24027/07, 11949/08 and 36742/08, §§ 113-14, 6 July 2010"
"Carson and Others v. the United Kingdom [GC], no. 42184/05, §§ 61 and 64, ECHR 2010"
"Buck v. Germany, no. 41604/98, ECHR 2005-IV"
"Skorobogatykh v. Russia (dec.), no. 37966/02, 8 June 2006"
"Rehbock v. Slovenia, no. 29462/95, § 84, ECHR 2000-XII"
"Weller v. Hungary, no. 44399/05, 31 March 2009"
"Kafkaris v. Cyprus [GC], no. 21906/04, §§ 12-30, ECHR 2008"
"Bowman v. the United Kingdom, 19 February 1998, § 41, Reports of Judgments and Decisions 1998-I"
"Stafford v. the United Kingdom [GC], no. 46295/99, § 64, ECHR 2002-IV"
"Cocchiarella c. Italie [GC], no 64886/01, § …, CEDH 2006-V"
"Svipsta v. Latvia, no 66820/01, § 129, ECHR 2006-III (extracts)"
"Guérin c. France, judgment of 29 July 1998, Reports 1998-V, § 37"
"Peck v. the United Kingdom, no. 44647/98, ECHR 2003-I"
"Holub v. Czech Republic (dec.) no. 24880/05, 14 December 2010"
"Holub v. the Czech Republic (dec.), no. 24880/05, 14 May 2010"
"Abdulaziz, Cabales and Balkandali v. the United Kingdom, 28 May 1985, § 71, Series A no. 94"
"Eugenia Michaelidou Developments Ltd and Michael Tymvios v. Turkey, no. 16163/90, § 21, 31 July 2003"
"Glüsen v. Germany, no. 1679/03, 10 January 2008"
"P.M. v. the United Kingdom, no. 6638/03, 19 July 2005"
"Cardot v. France, 19 March 1991, Series A no. 200"
"Guzzardi v. Italy, 6 November 1980, § 98, Series A no. 39"
"Grant v. the United Kingdom, no 32570/03, ECHR 2006-VII"
"Ögur c. Turquie [GC] no 21954/93, §§ 91-92, CEDH 1999-III"
"Obermeier v. Austria, 28 June 1990, § 68, Series A no 179"
"Mooren v. Germany [GC], no. 11364/03, § 134, ECHR 2009"
"Suljagic v. Bosnia and Herzegovina (no. 27912/02), §§ 61-62, ECHR 2009-..."
"Osmanov and Yuseinov v. Bulgaria, nos. 54178/00 and 59901/00, § 39, 23 September 2004"
"P.S. v. Germany, no. 33900/96, § 28, 20 December 2001"
"Varnava and Others v. Turkey [GC], nos. 16064/90, 16065/90, 16066/90, 16068/90, 16069/90, 16070/90, 16071/90, 16072/90 and 16073/90, § 224, ECHR 2009-..."
"Baltaji, no. 12919/04, 12 July 2011 (not final)"
"Ireland v. the United Kingdom, 18 January 1978, Series A no. 25"
"Golder v. the United Kingdom, 21 February 1975, § 19, Series A no. 18"
"Aït-Mouhoub v. France, 28 October 1998, § 52, Reports 1998-VIII"
"El Boujaïdi v. France, 26 September 1997, § 39, Reports 1997-VI"
"Campbell and Cosans v. the United Kingdom, 25 February 1982, § 26, Series A no 48"
"Mitchell and Holloway v. the United Kingdom, no. 44808/98, §§ 55-56, 69, 17 December 2002"
"Bruggemann and Scheuten v. Germany, no. 6959/75, Commission decision of 19 May 1976, Decisions and Reports (DR) D.R. 5, p. 103"
"M.H. v. Sweden (dec.), no. 10641/08, §§ 25 and 41, 21 October 2008"
"Mikadze v. Russia, no 52697/99, § 108, 7 June 2007"
"Selmouni v. France [GC], no. 25803/94, § 81, ECHR 1999-V"
"Editions Plon v. France, no. 58148/00, ECHR 2004-IV"
"Beyeler v. Italy [GC], no. 33202/96, § 107, ECHR 2000-I"
"Zwinkels v. the Netherlands (dec.), no. 16593/10, § 24, 9 October 2012"
"I.D. v. Bulgaria, no. 43578/98, 28 April 2005"
"König v. Germany, 28 June 1978, § 89, Series A no. 27"
"Vojtechová v. Slovakia, no. 59102/08, §§ 23 and 27, 25 September 2012"
"Üner v. the Netherlands [GC], no. 46410/99, § 57, ECHR 2006-XII"
"Dattel v. Luxembourg (no. 2), no. 18522/06, § 44, 30 July 2009"
"Remli v. France, 23 April 1996, § 54, Reports 1996-II"
"Franz Fischer v. Austria (dec.), no. 27569/02, ECHR 2003-VI"
"Mamedova v. Russia, no. 7064/05, § 43, 1 June 2006"
"Akulinin and Babich v. Russia, no. 5742/02, § 29, 2 October 2008"
"Delcourt v. Belgium, 17 January 1970, § 25, Series A no. 1"
"Eminbeyli v. Russia, no. 42443/02, § 68, 26 February 2009"
"Anokhin v. Russia (dec.), no. 25867/02, 31 May 2007"
"Kelly and Others v. the United Kingdom, no. 30054/96, §§ 96-97, 4 May 2001"
"Selçuk v. Turkey, no. 21768/02, §§ 35-36, 10 January 2006"
"Menesheva v. Russia (dec.), no. 59261/00, 15 January 2004"
"Steel and Morris v. the United Kingdom, no. 68416/01, § 94, ECHR 2005-II"
"Olsson v. Sweden (no 1), 24 March 1988, § 81, Series A no 130"
"Kennedy v. the United Kingdom, no. 26839/05, 18 May 2010)"
"Iatridis v. Greece [GC], no 31107/96, § 58, ECHR 1999-II"
"Enea v. Italy [GC], no. 74912/01, § 140, ECHR 2009"
"Blumberga v. Latvia, no. 70930/01, § 68, 14 October 2008"
"Sejdovic v. Italy [GC], no. 56581/00, § 92, ECHR 2006-II"
"Barberà, Messegué and Jabardo v. Spain, 6 December 1988, § 78, Series A no. 146"
15 November 2007
"Raimondo v. Italy, 22 February 1994, § 39, Series A no. 281-A"
"No. 8440/78, Dec"
"Avsar v Turkey, no. 25657/94, § 282, ECHR 2001"
"Choukhovoï v. Russia, no 63955/00, § 31, 27 March 2008"
"Salduz v. Turkey [GC], no. 36391/02, § 50, 27 November 2008"
"Leempoel and S.A. Editions Ciné Revue v. Belgium, no 64772/01, 9 November 2006"
"Broniowski v. Poland [GC], no 31443/96, § 134, ECHR 2004-V"
"Khurshid Mustafa and Tarzibachi v. Sweden, no. 23883/06, § 48, 16 December 2008"
"The Sunday Times v. the United Kingdom (no. 1), 26 April 1979, § 47, Series A no. 30"
"Hornsby v. Greece, 19 March 1997, § 40, Reports of Judgments and Decisions 1997 II"
"Laino v. Italy [GC], no. 33158/96, § 25, ECHR 1999 I"
"Zuckerstätter and Reschenhofer v. Austria (dec.), no. 76718/01, 2 September 2004"
"Ireland v. the United Kingdom, 18 January 1978, § 200, Series A no. 25"
"Hüseyin Simsek v. Turkey, no. 68881/01, § 67, 20 May 2008"
"Herczegfalvy v. Austria, 24 September 1992, § 82, Series A no 244"
"Tammer v. Estonia, no 41205/98, § 67, ECHR 2001-I"
"Khadisov and Tsechoyev v. Russia, no. 21519/02, 5 February 2009"
"Botten v. Norway, 19 February 1996, § 48, Reports of Judgments and Decisions 1996-I"
"Christine Goodwin v. the United Kingdom [GC], no 28957/95, § 72, ECHR 2002-VI"
"Kucera v. Slovakia, no. 48666/99, § 95, 17 July 2007"
"A. and Others v. the United Kingdom [GC], no. 3455/05, §§ 182-190, ECHR 2009-..."
"Ommer v. Germany (no. 2), no. 26073/03, § 55, 13 November 2008"
"Schenk v. Switzerland, 12 July 1988, § 45, Series A no. 140"
"Vidal v. Belgium, judgment of 22 April 1992, Series A no. 235-B, § 33"
"Mooren v. Germany [GC], no 11364/03, § 76, ECHR 2009-..."
"Weeks judgment of 2 March 1987, Series A no. 114, pp. 21 et seq., paras. 38-53"
"Nadtochiy v. Ukraine, no. 7460/03, 15 May 2008"
"Vladimir Romanov v. Russia, no. 41461/02, §§ 50-52, 24 July 2008"
"Labita v. Italy [GC], no. 26772/95, § 195, ECHR 2000-IV"
"Pfeifer and Plankl v. Austria, 25 February 1992, § 36, Series A no. 227"
"Eglise de Scientologie de Moscou v. Russia, no 18147/02, §§ 81-85, 5 April 2007"
"Lawless v. Ireland, 1 July 1961, § 7, pp. 45-46, Series A no. 3"
"Saïdi v. France, 20 September 1993, Series A no. 261-C"
"Orhan v. Turkey, no 25656/94, 18 June 2002"
"Mikheyev v. Russia, no. 77617/01, § 149, 26 January 2006"
"Robert Lesjak v. Slovenia, no. 33946/03, § 36, 21 July 2009"
"Mehmet Ümit Erdem v. Turkey, no. 42234/02, § 26, 17 July 2008"
"Zeïbek v. Greece, no. 46368/06, 9 July 2009"
"Martins Castro and Alves Correia de Castro v. Portugal, no. 33729/06, 10 June 2008"
"Kolona v. Cyprus, no. 28025/03, § 72, 27 September 2007"
"E.G. v. Poland (dec.), no 50425/99, § 27, ECHR 2008 (extracts)"
"Mazelié v. France, no 5356/04, § 38, 27 June 2006"
"Abdülsamet Yaman v. Turkey, no. 32446/96, § 55, 2 November 2004"
"Broniowski v. Poland, [GC], no 31443/96, ECHR 2004-V"
"Grava v. Italy, no. 43522/98, 10 July 2003"
"Streletz, Kessler and Krenz v. Germany [GC], nos. 34044/96, 35532/97 and 44801/98, §§ 87, 96 and 97, ECHR 2001-II"
"Maestri v. Italy [GC], no 39748/98, § 30, ECHR 2004-I"
"Klamecki (no. 2) v. Poland, no. 31583/96, 3 April 2003, § 144"
"Fretté v. France, no. 36515/97, §§ 34 and 40, ECHR 2002-I"
"Hermi v. Italy [GC], no 18114/02, §§ 58-60, ECHR 2006-XII"
"Müslim v. Turkey, no 53566/99, § 57, 26 April 2005"
"Stec and Others v. the United Kingdom [GC], nos. 65731/01 and 65900/01, § 51, ECHR 2006-VI"
"Maaouia v. France [GC], no 39652/98, § 40, ECHR 2000-X"
"Hunt v. Ukraine, no. 31111/04, § 66, 7 December 2006"
"Marcello Viola v. Italy, no. 45106/04, §§ 41 and 75, ECHR 2006-XI"
"Clift v. the United Kingdom, no. 7205/07, § 62, 13 July 2010"
"Özcan Çolak v. Turkey, no. 30235/03, §§ 51-53, 6 October 2009"
"Eur. Comm. H.R. Klass and Others judgment of 6 September 1978, Series A no. 28, p. 29 para. 64"
"Reklos and Davourlis v. Greece, no 1234/05, 15 January 2009"
"Boris Stojanovski v. “the former Yugoslav Republic of Macedonia”, no. 41196/06, 6 May 2010"
"Sporrong and Lönnroth v. Sweden, 23 September 1982, § 73, Series A no. 52"
"Valašinas v. Lithuania, no. 44558/98, § 107, ECHR 2001 VIII"
"Tunaru v. Romania (dec.), no. 66381/09, § 21, 13 November 2012"
"Gaillard v. France (dec.), no 47337/99, 11 July 2000"
"Shakhgiriyeva and Others v. Russia, no. 27251/03, §§ 168-173, 8 January 2009"
"Hasani v. Croatia (dec.), no. 20844/09, 30 September 2010"
"Malhous v. the Czech Republic (dec.) [GC], no. 33071/96, ECHR 2000-XII"
"Funke v. France, 25 February 1993, § 51, Series A no. 256-A"
"Marckx v. Belgium, 13 June 1979, § 58, Series A no 31"
"Campbell v. the United Kingdom, 25 March 1992, § 48, Series A no. 233"
"Kadem v Malta, no. 55263/00, 9 January 2003"
"Mahmut Kaya v. Turkey, no. 22535/93, §§ 106-107, ECHR 2000-III"
"Slivenko v. Latvia [GC], no 48321/99, ECHR 2003-X"
"Mantog v. Romania no 2893/02, §§ 70 et seq., 11 October 2007"
"Galya Pavlova v. Bulgaria (dec.), no. 39855/03, 14 October 2004"
"Chrysostomos, Papachrysostomou and Loizidou v. Turkey, nos.15299/89, 15300/89 and 15318/89, D. R. 68, p. 216, at p. 250"
"Brualla Gómez de la Torre v. Spain, 19 December 1997, § 33, Reports of Judgments and Decisions 1997-VIII"
"Janatuinen v. Finland, no. 28552/05, § 45, 8 December 2009"
"Ceylan v. Turkey [GC], no. 23556/94, ECHR 1999-IV"
"Jahn and Others v. Germany [GC], nos. 46720/99, 72203/01 and 72552/01, ECHR 2005 VI"
"Jorge Nina Jorge and Others v. Portugal, no 52662/99, § 39, 19 February 2004"
"Šobota-Gajic v. Bosnia and Herzegovina, no. 27966/06, § 45, 6 November 2007"
"Yavuz v. Turkey (dec.), no 29870/96, 25 May 2000"
"Engel and Others v. the Netherlands, 8 June 1976, § 81, Series A no. 22"
"Tabesh v. Greece, no 8256/07, 26 November 2009"
"Transado-Transportes Fluviais Do Sado S.A. v. Portugal (dec.), no. 35943/02, ECHR 2003-XII"
"Barberà, Messegué and Jabardo v. Spain, 6 December 1988, § 89, Series A no. 146"
"Aksoy v. Turkey, 18 December 1996, § 97, Reports 1996-VI"
"Okkali v. Turkey, no. 52067/99, § 65, ECHR 2006-XII"
"Iordan Iordanov and Others v. Bulgaria, no. 23530/02, § 47, 2 July 2009"
"NA. v. the United Kingdom, no 25904/07, 17 July 2008"
"Ahmet Okyay and Others v. Turkey (dec.), no 36220/97, 17 January 2002"
"No. 7816/77, Dec. 19.5.77, Dec. 19.5.77, D.R. 9 p. 219"
"Paroisse gréco-catholique Sfântul Vasile Polona v. Romania, no 65965/01, 7 April 2009"
"Calvelli and Ciglio v. Italy [GC], no. 32967/96, § 49, ECHR 2002-I"
"McKay v. the United Kingdom [GC], no. 543/03, § 43, ECHR 2006-X"
"Ferré Gisbert v. Spain (no. 39590/05, 13 October 2009)"
"Bensaid v. the United Kingdom, no 44599/98, ECHR 2001-I"
"Güleç v. Turkey, 27 July 1998, §§ 77-78, Reports of Judgments and Decisions 1998-IV"
"Scordino c. Italie (no 1) [GC], no 36813/97, CEDH 2006-V"
"Kucera v. Slovakia, no. 48666/99, § 127, 17 July 2007"
"Saadi v. Italy [GC], no. 37201/06, §§ 65-93, 28 February 2008"
"Slimani v. France, no 57671/00, § 32, ECHR 2004-IX"
"Iordan Iordanov and Others v. Bulgaria, no. 23530/02, § 44, 2 July 2009"
"Berdzenishvilli v. Russia (dec.), no. 31697/03, 29 January 2009"
"Xenides-Arestis v. Turkey, no 46347/99, § 40, 22 December 2005"
"Hugh Jordan v. the United Kingdom, no. 24746/94, § 105, ECHR 2001-III (extracts)"
"De Diego Nafría c. Spain, no. 46833/99, § 34, 14 March 2002"
"Associated Society of Locomotive Engineers and Firemen (ASLEF) v. the United Kingdom, no. 11002/05, § 37, 27 February 2007"
"Csoszánszki v. Sweden (dec.), no. 22318/02, 27 June 2006"
"Zarb Adami v. Malta, no 17209/02, § 42, ECHR 2006-VIII"
"Sakkopoulos v. Greece, no. 61828/00, 15 January 2004"
"Niemietz v. Germany, 16 December 1992, § 29, Series A no 251-B"
"Freedom and Democracy Party (ÖZDEP) v. Turkey [GC], no 23885/94, ECHR 1999-VIII"
"Kozak v. Poland, no 13102/02, § 83, 2 March 2010"
"Ukraine-Tyumen v. Ukraine, no. 22603/02, § 51, 22 November 2007"
"No. 10612/83, Dec. 10.12.84, D.R. 40 p. 276"
"Hasan and Eylem Zengin v. Turkey, no 1448/04, §§ 73 and 75, ECHR 2007-XI"
"Ikincisoy v. Turkey, no 26144/95, § 103, 27 July 2004"
"Mathieu-Mohin and Clerfayt v. Belgium (2 March 1987, § 46-54, Series A no. 113)"
"Morris v. the United Kingdom, no. 38784/97, § 58, ECHR 2002-I"
"Matthews v. the United Kingdom [GC], no. 24833/94, § 34, ECHR 1999-I"
